link,start_node,end_node,traffic_volume,vehicles_remain,free_travel_time,average_travel_time,stddiv_travel_time,delay_ratio,length
Tolstoy Marg-563791811,6437715963,5681450599,35,5,30.76966059521128,31.246627229805178,1.3793026313000232,1.0155011990827136,427.3563971557123
Tolstoy Marg-74851428-reverse,5681450599,5799663725,185,0,29.02865996285441,29.141078191606933,1.8049757524590935,1.003872663391847,403.17583281742236
Baba Kharak Singh Marg-24583332,4083436490,267249914,0,0,88.04542055551278,-1.0,-1.0,-0.011357774131699427,1222.8530632710108
Outer Circle-578543605,4083436490,6720350030,0,0,42.06946393906382,-1.0,-1.0,-0.023770210180202575,584.2981102647753
Panchkuian Road-80926759-reverse,6720350030,562591589,0,0,90.28490481263636,-1.0,-1.0,-0.011076048671427951,1253.957011286616
Outer Circle-446922590,6720350030,939091064,115,0,50.482163886921896,50.086387696406845,0.1849059041547084,0.9921600787279726,701.1411650961375
Firoz Shah Road-998790357,5681450599,6666328391,555,25,78.10361820585524,78.3498629302277,2.4622623117521867,1.0031527953509585,1084.772475081323
Mandi House Chowk-24583333,6758692739,939091163,0,0,70.7890783963532,-1.0,-1.0,-0.014126472934156978,983.1816443937946
Subramaniyam Bharti Marg-1187268467-reverse,249823920,3007872805,0,0,87.29514762321288,-1.0,-1.0,-0.01145539044525411,1212.4326058779568
Akbar Road-24563435,267197860,6666328391,0,0,114.7717541505634,-1.0,-1.0,-0.008712945161473697,1594.0521409800472
,267197860,6702699426,0,0,104.44276225545224,-1.0,-1.0,-0.009574622294593677,1450.5939202146144
Bhairon Marg-28103660,938622410,249823920,125,5,99.06458934085921,95.37258735624543,1.1728568790351719,0.9627313653730454,1375.8970741786002
-reverse,249791204,267197925,0,0,27.686310531982926,-1.0,-1.0,-0.03611893317619229,384.53209072198507
_renamed0NFqtceb,5716610639,292460406,340,5,53.94203710709734,54.41316513104666,1.4621873597424204,1.008733967962944,749.1949598207964
Sabz Burj Circle-680551205-reverse,10649389967,910450995,180,5,46.942903045873464,45.18889335168215,0.5756046994411775,0.9626352530333016,651.9847645260204
Mathura Road-39013511,910450995,7062680773,180,0,43.99291585729062,44.88950048989716,0.31475730757006026,1.0203802047473958,611.0127202401475
_renamedkYO4FL8T,910450995,267074512,0,0,30.197372027200956,-1.0,-1.0,-0.033115464454960775,419.4079448222355
Ashoka Road-717907807-reverse,4930107703,267249914,0,0,64.54924406871818,-1.0,-1.0,-0.015492048194017805,896.5172787321969
_renamedNHI5rYPa,267074512,436900031,0,0,127.79587798030974,-1.0,-1.0,-0.007824978518900867,1774.9427497265242
Sabz Burj Circle-24563333-reverse,910450995,10649389967,0,0,46.942903045873464,-1.0,-1.0,-0.021302474604580412,651.9847645260204
Oberoi Flyover-570859687,910450995,910347038,0,0,89.35805824373664,-1.0,-1.0,-0.011190932520851783,1241.08414227412
_renamedy1IcVT0k,910347050,267074512,0,0,45.0262799042798,-1.0,-1.0,-0.022209252066257176,625.3649986705527
Doctor Rajendra Prasad Road-44257669,6702699426,6666328391,0,0,51.81364429394803,-1.0,-1.0,-0.01929993563716194,719.633948527056
_renamedf1bHesDA,939091126,249823920,355,5,83.476577669632,84.79790672193636,0.8082809705280743,1.015828740099213,1159.3969120782222
_renamedzbahaPGO,267197925,249791204,0,0,27.686310531982926,-1.0,-1.0,-0.03611893317619229,384.53209072198507
-reverse_renamedpMVxC9X8,267197925,6666328391,0,0,75.7063314321192,-1.0,-1.0,-0.01320893485502772,1051.4768254461
Raisina Road-998790361,249791204,6666328386,0,0,56.68572437836883,-1.0,-1.0,-0.01764112589132932,787.3017274773449
Raisina Road-717907815,6666328386,249791204,0,0,56.68572437836883,-1.0,-1.0,-0.01764112589132932,787.3017274773449
Humayun Road-24577365,267197834,910347038,0,0,21.619768377878223,-1.0,-1.0,-0.04625396454400593,300.27456080386423
Rotary 13-582461174-reverse,267197860,267197876,0,0,51.92869396196944,-1.0,-1.0,-0.019257176017797813,721.2318605829089
Prithviraj Road-664985709,267197860,5792664540,0,0,57.809917899975844,-1.0,-1.0,-0.01729806988707759,802.9155263885534
Rotary 13-604050032-reverse,267197876,267197860,0,0,51.92869396196944,-1.0,-1.0,-0.019257176017797813,721.2318605829089
rotary no 11-562340234-reverse,267197876,433484645,170,0,46.652739831045146,46.64804510955645,2.136288866360138,0.9998993687936507,647.954719875627
Motilal Nehru Place-758753892,267197876,267197930,0,0,75.92392665023247,-1.0,-1.0,-0.013171078527152784,1054.4989812532287
Krishna Menon Marg-1005501934,267197930,267197925,0,0,24.060312079180527,-1.0,-1.0,-0.041562220669003856,334.17100109972955
Akbar Road-24577385,6666328391,267197876,720,20,82.79139813586997,83.30947433052539,2.284293322633646,1.0062576089584234,1149.8805296648607
Krishna Menon Marg-1005501934-reverse,267197925,267197930,0,0,24.060312079180527,-1.0,-1.0,-0.041562220669003856,334.17100109972955
Sansad Marg-570616029,5799663725,4083436490,185,0,15.58784283972493,15.83452557392114,1.804564967318499,1.0158253285417755,216.49781721840182
